epoch,lr-AdamW,step,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,train/loss_epoch,train/loss_step,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50
63,,4863,,,,,,,,,,,,0.17880794405937195,0.5645695328712463,0.6713576316833496,0.4329470098018646,0.08275338262319565,0.09429444372653961,0.17073868215084076,0.18569178879261017,0.14936959743499756
63,,4863,,,,,,,,,,0.47366297245025635,,,,,,,,,,
,0.00018947512507439852,4899,,,,,,,,,,,,,,,,,,,,
64,,4899,,,,,,,,,,,0.447380930185318,,,,,,,,,
64,,4939,,,,,,,,,,0.473502516746521,,,,,,,,,,
,0.00021404630011522558,4949,,,,,,,,,,,,,,,,,,,,
65,,4949,,,,,,,,,,,0.4699438214302063,,,,,,,,,
,0.00021404630011522558,4999,,,,,,,,,,,,,,,,,,,,
65,,4999,,,,,,,,,,,0.4809180200099945,,,,,,,,,
65,,5015,,,,,,,,,,,,0.18377482891082764,0.5637417435646057,0.6730132699012756,0.44122517108917236,0.08332079648971558,0.09589006751775742,0.171073779463768,0.18638424575328827,0.15118859708309174
65,,5015,,,,,,,,,,0.47518572211265564,,,,,,,,,,
,0.00023976573648539664,5049,,,,,,,,,,,,,,,,,,,,
66,,5049,,,,,,,,,,,0.48357072472572327,,,,,,,,,
66,,5091,,,,,,,,,,0.47463464736938477,,,,,,,,,,
,0.00026653193131965077,5099,,,,,,,,,,,,,,,,,,,,
67,,5099,,,,,,,,,,,0.48537677526474,,,,,,,,,
,0.00026653193131965077,5149,,,,,,,,,,,,,,,,,,,,
67,,5149,,,,,,,,,,,0.514122486114502,,,,,,,,,
67,,5167,,,,,,,,,,,,0.18543046712875366,0.5604304671287537,0.6697019934654236,0.43377482891082764,0.08403460681438446,0.09695076197385788,0.17113839089870453,0.186494380235672,0.15048980712890625
67,,5167,,,,,,,,,,0.47539329528808594,,,,,,,,,,
,0.000294239250675289,5199,,,,,,,,,,,,,,,,,,,,
68,,5199,,,,,,,,,,,0.44813016057014465,,,,,,,,,
68,,5243,,,,,,,,,,0.476193904876709,,,,,,,,,,
,0.0003227783464210842,5249,,,,,,,,,,,,,,,,,,,,
69,,5249,,,,,,,,,,,0.43587806820869446,,,,,,,,,
,0.0003227783464210842,5299,,,,,,,,,,,,,,,,,,,,
69,,5299,,,,,,,,,,,0.4508802890777588,,,,,,,,,
69,,5319,,,,,,,,,,,,0.17963576316833496,0.5662251710891724,0.6763244867324829,0.4370861053466797,0.08276534080505371,0.09403824806213379,0.17138148844242096,0.18681228160858154,0.15034662187099457
69,,5319,,,,,,,,,,0.4766387939453125,,,,,,,,,,
,0.00035203658778440065,5349,,,,,,,,,,,,,,,,,,,,
70,,5349,,,,,,,,,,,0.47983986139297485,,,,,,,,,
70,,5395,,,,,,,,,,0.47642749547958374,,,,,,,,,,
,0.00038189850585339675,5399,,,,,,,,,,,,,,,,,,,,
71,,5399,,,,,,,,,,,0.48247388005256653,,,,,,,,,
